iter	Logloss
0	0.2751416148
1	0.1658286459
2	0.1256163365
3	0.09890813348
4	0.08658213208
5	0.07653688259
6	0.05910823051
7	0.0525646384
8	0.0430362992
9	0.03640872303
10	0.03319625453
11	0.02931308572
12	0.02733942156
13	0.02488719714
14	0.02216635091
15	0.01930526082
16	0.01795313986
17	0.01536198826
18	0.01318783736
19	0.01085338324
20	0.01042147461
21	0.009288867441
22	0.008204558475
23	0.0073723551
24	0.006563145135
25	0.006120007646
26	0.005917724239
27	0.005507870842
28	0.005258095881
29	0.004859411718
30	0.00457455876
31	0.004246338895
32	0.003820071205
33	0.003627325373
34	0.003466111914
35	0.003200751926
36	0.003027174086
37	0.002846678328
38	0.002698198304
39	0.002528053339
40	0.002413744379
41	0.002274235582
42	0.002129844848
43	0.001985961751
44	0.001899156734
45	0.001718307508
46	0.001559308478
47	0.001498069145
48	0.001408024184
49	0.001407961613
50	0.001352709176
51	0.001302055186
52	0.001301963169
53	0.001301963169
54	0.001301963169
55	0.001301963169
56	0.001301963169
57	0.001301963169
58	0.001301963169
59	0.001301963169
60	0.001301963169
61	0.001301963169
62	0.001301853408
63	0.001301808233
64	0.001301808233
65	0.001301808233
66	0.001301808233
67	0.001301808233
68	0.001301808233
69	0.001301808233
70	0.001301808233
71	0.001301700669
72	0.001301700669
73	0.001301700669
74	0.001301700669
75	0.001301700669
76	0.001301771693
77	0.001301769441
78	0.001301593059
79	0.001301678225
80	0.001301678225
81	0.001301678225
82	0.001301678225
83	0.001301678225
84	0.001301678225
85	0.001301678225
86	0.001301678225
87	0.001301678225
88	0.001301678225
89	0.001301678225
90	0.001301678225
91	0.001301678225
92	0.001301678225
93	0.001301678225
94	0.001301678225
95	0.001301678225
96	0.001301678225
97	0.001301678225
98	0.001301555516
99	0.001301577407
